metric_definition_id	metric_name	display_name	function_code	subfunction_code	category_code	type_code	composition_code	direction_code	industry_code	formula_hint	status_code	maturity_code	description_text	tags	created_by_name	updated_by_name	created_at	updated_at	metric_seq	industry_category_code	seed_ref	verification_result_code	verification_evidence_id	purpose_code	shape_code	temporality_code	precision_code	impact_code	shape_params_json	needs_revalidation	locked_by	locked_at	discipline_code	readiness_min_snapshots	readiness_max_freshness_days	temporality_kind
cebbcb82-f322-43ee-a0d0-274bdcd02a92	audit_impact	Audit Impact	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The impact of internal audits on the company. It helps ensure that internal audits are adding value to the company and contributing to the achievement of its objectives.	{}	\N	\N	2026-04-04 09:39:24.344529+00	2026-04-17 09:56:20.876061+00	5827	\N	audit_impact	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	close_and_control	\N	\N	\N
91ebf599-168b-4299-8c2c-d15b3a4ce78b	audit_methodology_adequacy	Audit Methodology Adequacy	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The adequacy of the methodology used by the internal audit in terms of current industry standards and organizational needs.	{}	\N	\N	2026-04-04 09:39:24.512399+00	2026-04-17 09:56:20.876061+00	5836	\N	audit_methodology_adequacy	green	\N	operational	scalar	period	final	quality	\N	f	\N	\N	close_and_control	\N	\N	\N
9dbca1fd-a180-4193-a064-c913ec779420	casa_ratio	CASA Ratio	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Current Account Savings Account deposits as % of total deposits -- lower cost funding	{}	\N	\N	2026-04-04 09:41:37.703209+00	2026-04-17 09:56:20.898633+00	6138	\N	casa_ratio	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
c3380d5a-2abf-426b-b455-3c720ce828af	cash_cost_per_unit	Cash Cost per Unit	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Direct operating cost per unit of mineral produced	{}	\N	\N	2026-04-04 09:41:37.767156+00	2026-04-17 09:56:20.898633+00	6141	\N	cash_cost_per_unit	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
2721191d-d9f5-4e54-8d8c-7de3d8b78c9f	ap_negotiation_cost_savings	AP Negotiation Cost Savings	finance	accounts_payable	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Cost savings from supplier payment term negotiations.	{}	\N	\N	2026-04-04 09:28:50.003421+00	2026-04-17 09:53:08.242472+00	5143	\N	cost_reduction_achieved_from_ap_negotiations	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
46638d1e-b90d-4269-a41e-7f37ae955108	ap_document_retention_compliance	AP Document Retention Compliance	finance	accounts_payable	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Compliance with regulatory requirements for retaining AP documents.	{}	\N	\N	2026-04-04 09:28:50.003421+00	2026-04-17 09:53:08.242472+00	5121	\N	ap_document_retention_compliance	green	\N	operational	scalar	period	final	compliance	\N	f	\N	\N	working_capital	\N	\N	\N
19860230-4a27-4750-92f1-67c2309d2dd9	cash_runway	Cash Runway	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Months of cash remaining at current burn rate	{}	\N	\N	2026-04-04 09:41:37.819413+00	2026-04-17 09:56:20.898633+00	6144	\N	cash_runway	green	\N	predictive	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
2506ff0e-78a6-4f5a-9350-c6593de97ad6	disputed_invoice_rate	Disputed Invoice Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Percentage of invoices under dispute	{}	\N	\N	2026-04-04 09:41:38.501928+00	2026-04-17 09:56:20.898633+00	6186	\N	disputed_invoice_rate	green	\N	operational	scalar	period	final	quality	\N	f	\N	\N	working_capital	\N	\N	\N
920ca0a2-e45e-46fd-afe4-a7846961e27b	e_invoice_adoption_rate	E-Invoice Adoption Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Percentage of invoices sent electronically (EDI, XML, e-invoicing portals) versus paper or PDF. Higher adoption reduces processing costs and accelerates payment.	{}	\N	\N	2026-04-04 09:41:38.580803+00	2026-04-17 09:56:20.898633+00	6191	\N	e_invoice_adoption_rate	green	\N	performance	scalar	period	final	volume	\N	f	\N	\N	working_capital	\N	\N	\N
1050a0eb-7379-4e0c-8c1d-ab1ac2f4ceda	cash_visibility	Cash Visibility	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Percentage of global cash with real-time visibility	{}	\N	\N	2026-04-04 09:41:37.836711+00	2026-04-17 09:56:20.898633+00	6145	\N	cash_visibility	green	\N	operational	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
4bf77bd3-d3a2-4009-984c-7b54580629c1	electronic_invoice_adoption_rate	Electronic Invoice Adoption Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Percentage of invoices received/processed electronically	{}	\N	\N	2026-04-04 09:41:38.594787+00	2026-04-17 09:56:20.898633+00	6192	\N	electronic_invoice_adoption_rate	green	\N	operational	scalar	period	final	volume	\N	f	\N	\N	working_capital	\N	\N	\N
ccbd950e-a1d4-49a4-b476-b4d89f0c2eaf	months_of_runway	Months of Runway	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Current cash / monthly burn rate	{}	\N	\N	2026-04-04 09:41:39.162564+00	2026-04-17 09:56:20.898633+00	6224	\N	months_of_runway	green	\N	predictive	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
c0f10010-3e35-49f7-a58b-19bd4b3c9e95	electronic_payment_adoption	Electronic Payment Adoption	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Percentage of payments made electronically vs. check	{}	\N	\N	2026-04-04 09:41:38.609616+00	2026-04-17 09:56:20.898633+00	6193	\N	electronic_payment_adoption	green	\N	operational	scalar	period	final	volume	\N	f	\N	\N	working_capital	\N	\N	\N
71dda98b-2f48-4244-8cf7-29538efef41a	idle_cash_ratio	Idle Cash Ratio	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Uninvested cash / Total cash; measures deployment efficiency	{}	\N	\N	2026-04-04 09:41:38.869722+00	2026-04-17 09:56:20.898633+00	6208	\N	idle_cash_ratio	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
10138be3-d4ef-45e6-b738-bf16b8080dcd	invoice_error_rate	Invoice Error Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The percentage of invoices that contain errors, requiring additional time and resources to resolve.	{}	\N	\N	2026-04-04 09:41:38.957061+00	2026-04-17 09:56:20.898633+00	6214	\N	invoice_error_rate	green	\N	operational	scalar	period	final	quality	\N	f	\N	\N	working_capital	\N	\N	\N
dafb4752-dbaf-48f1-9677-fba06f7e8358	business_entity_employees_per_finance_function_fte	Business entity employees per finance function FTE	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Number of business entity employees / Number of FTEs who perform the function manage financial resources	{}	\N	\N	2026-04-04 09:41:39.326868+00	2026-04-17 09:56:20.898633+00	6234	\N	number_of_business_entity_employees_per_finance_function_fte	green	\N	efficiency	scalar	period	final	volume	\N	f	\N	\N	others	\N	\N	\N
9d98a4dc-b2c6-4263-be27-7297753940dc	ar_no_follow_up_rate	AR No Follow-Up Rate	finance	accounts_receivable	\N	\N	primary	lower_is_better	universal	\N	draft	enriched	Measures the percentage of overdue receivables that have not received a collection follow-up contact within the past 14 days. Untouched overdue items age rapidly and are significantly more likely to become uncollectible.	{}	\N	\N	2026-04-04 08:45:26.300098+00	2026-04-17 09:53:08.242472+00	4976	universal	ar_without_recent_follow_up	green	agent-claude-opus	operational	scalar	period	final	risk	\N	f	\N	\N	working_capital	\N	\N	\N
30e05a71-c467-42db-b4c0-3a5260a1ff4d	automated_billing_system_adoption_rate	Automated Billing System Adoption Rate	finance	billing	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The rate at which automated systems are adopted for billing processes, indicating technological advancement and efficiency improvements.	{}	\N	\N	2026-04-04 09:40:06.997458+00	2026-04-17 09:53:08.242472+00	6076	\N	automated_billing_system_adoption_rate	green	\N	efficiency	scalar	period	final	time	\N	f	\N	\N	working_capital	\N	\N	\N
a659394c-15c9-44e9-9b86-ac5824e39da7	cash_pooling_effectiveness	Cash Pooling Effectiveness	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Reduction in external borrowing through notional/physical pooling	{}	\N	\N	2026-04-04 09:41:37.783868+00	2026-04-17 09:56:20.898633+00	6142	\N	cash_pooling_effectiveness	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
88eba8e9-93b8-4b84-bdfb-7755613f2e91	invoice_exception_rate	Invoice Exception Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The percentage of invoices that do not match purchase orders or receiving documents and require special handling.	{}	\N	\N	2026-04-04 09:41:38.972071+00	2026-04-17 09:56:20.898633+00	6215	\N	invoice_exception_rate	green	\N	operational	scalar	period	final	quality	\N	f	\N	\N	working_capital	\N	\N	\N
608b6a94-97ad-4ff9-b1b3-7b36bc6d7d4b	payment_fraud_loss_rate	Payment Fraud Loss Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Actual fraud losses / Total payment volume	{}	\N	\N	2026-04-04 09:41:39.592262+00	2026-04-17 09:56:20.898633+00	6250	\N	payment_fraud_loss_rate	green	\N	performance	scalar	period	final	risk	\N	f	\N	\N	working_capital	\N	\N	\N
d7bec864-a203-4c75-8ddd-32fc524473ce	undrawn_credit_facility	Undrawn Credit Facility	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Available but unused credit lines; liquidity buffer	{}	\N	\N	2026-04-04 09:41:40.627361+00	2026-04-17 09:56:20.898633+00	6318	\N	undrawn_credit_facility	green	\N	operational	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
0ce96e76-4e7e-4c93-8315-663bf53660d3	payment_fraud_attempts	Payment Fraud Attempts	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Number and value of detected payment fraud attempts	{}	\N	\N	2026-04-04 09:41:39.578954+00	2026-04-17 09:56:20.898633+00	6249	\N	payment_fraud_attempts	green	\N	operational	scalar	period	final	risk	\N	f	\N	\N	working_capital	\N	\N	\N
6313d564-35ca-46e1-b3bb-3e138982db2c	return_on_idle_cash	Return on Idle Cash	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Yield earned on short-term cash investments	{}	\N	\N	2026-04-04 09:41:40.217343+00	2026-04-17 09:56:20.898633+00	6290	\N	return_on_idle_cash	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
eb3586ea-bf8b-41d8-b300-57bdcefa51e9	time_to_invoice	Time to Invoice	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Elapsed days from order completion or service delivery to invoice creation. Measures billing department responsiveness and process automation maturity.	{}	\N	\N	2026-04-04 09:41:40.486522+00	2026-04-17 09:56:20.898633+00	6309	\N	time_to_invoice	green	\N	efficiency	scalar	period	final	time	\N	f	\N	\N	working_capital	\N	\N	\N
7811fccf-eba2-41a1-a673-39ebeade91a8	contribution_margin	Contribution Margin	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The amount by which sales revenue exceeds variable costs, indicating how much revenue contributes to fixed costs and profit.	{}	\N	\N	2026-04-04 09:41:37.971934+00	2026-04-17 09:56:20.898633+00	6153	\N	contribution_margin	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
e9371f97-1ce0-42b5-9396-264d5e53e372	revenue_leakage_rate	Revenue Leakage Rate	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Percentage of earned revenue lost due to billing errors, uncollected charges, contract non-enforcement, or pricing discrepancies.	{}	\N	\N	2026-04-04 09:41:40.247736+00	2026-04-17 09:56:20.898633+00	6292	\N	revenue_leakage_rate	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
5f68ea1e-72a9-42c7-b2b4-1af9524119b2	block_hour_revenue	Block Hour Revenue	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Revenue generated per block hour of flight	{}	\N	\N	2026-04-04 09:41:37.619144+00	2026-04-17 09:56:20.898633+00	6134	\N	block_hour_revenue	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
20879f01-09b0-4fa4-89a9-1d56e1514a4a	cost_of_debt	Cost of Debt	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	A measure of the effective rate that a company pays on its borrowed funds, which includes the tax shield from deductible interest expenses.	{}	\N	\N	2026-04-04 09:41:38.00257+00	2026-04-17 09:56:20.898633+00	6155	\N	cost_of_debt	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
cab2b615-d308-4579-9c97-e28b7578a22e	cost_per_available_seat_kilometer_cask	Cost per Available Seat Kilometer (CASK)	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total operating costs divided by ASK	{}	\N	\N	2026-04-04 09:41:38.051171+00	2026-04-17 09:56:20.898633+00	6158	\N	cost_per_available_seat_kilometer_cask	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
2510b3e3-02d8-4cc5-a9ed-60ba7528e1ec	cost_per_shipment	Cost per Shipment	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The total cost divided by the number of shipments.	{}	\N	\N	2026-04-04 09:41:38.098246+00	2026-04-17 09:56:20.898633+00	6161	\N	cost_per_shipment	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
a30ab841-3be4-482b-9dde-66a715016210	cost_per_unit_produced	Cost per Unit Produced	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The average cost incurred to produce one unit of product, including materials, labor, and overhead. Lower costs can enhance profitability.	{}	\N	\N	2026-04-04 09:41:38.146072+00	2026-04-17 09:56:20.898633+00	6164	\N	cost_per_unit_produced	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
e294e167-36df-4558-bfcc-27091f8db391	cost_per_bushel_cost_per_tonne	Cost per Bushel / Cost per Tonne	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total production cost per unit of crop output	{}	\N	\N	2026-04-04 09:41:38.067285+00	2026-04-17 09:56:20.898633+00	6159	\N	cost_per_bushel_cost_per_tonne	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
e0adf0e3-e524-42a1-81ee-3d10afaa062f	cost_per_student	Cost per Student	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total institutional expenditure / enrolled students	{}	\N	\N	2026-04-04 09:41:38.113976+00	2026-04-17 09:56:20.898633+00	6162	\N	cost_per_student	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
a4ffabda-e631-43e2-a153-02d250e75dd6	cost_per_unit_shipped	Cost per Unit Shipped	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total logistics cost per individual unit delivered	{}	\N	\N	2026-04-04 09:41:38.160585+00	2026-04-17 09:56:20.898633+00	6165	\N	cost_per_unit_shipped	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
10d949f8-f5c1-470e-9fa9-1348d6cee676	total_revenue	Total Revenue	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total income generated from sales of goods or services, before any deductions are made.	{}	\N	\N	2026-04-04 09:41:40.585812+00	2026-04-17 09:56:20.898633+00	6315	\N	total_revenue	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	profit_and_loss	\N	\N	\N
69d9bd19-e758-4a1d-8b73-448a1f19a046	average_daily_cash_balance	Average Daily Cash Balance	finance	treasury	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The average amount of cash a company has on hand over a specified period, showing how well the company manages its cash flow.	{}	\N	\N	2026-04-04 09:38:54.006018+00	2026-04-17 09:53:08.242472+00	5627	\N	average_daily_cash_balance	green	\N	operational	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
0f9caca0-1b83-486e-a751-b4fd490ffc30	banks_used_in_cash_collection_network_per_1_billion_revenue	Banks used in cash collection network per $1 billion revenue	finance	treasury	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Number of banks used in organization's cash collection network / (Total business entity revenue * .000000001)	{}	\N	\N	2026-04-04 09:38:53.617347+00	2026-04-17 09:53:08.242472+00	5604	\N	number_of_banks_used_in_cash_collection_network_per_1_billion_revenue	green	\N	efficiency	scalar	period	final	volume	\N	f	\N	\N	working_capital	\N	\N	\N
da347740-ffff-4974-b823-d0f142d97bc3	commodity_price_exposure	Commodity Price Exposure	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Unhedged commodity cost exposure	{}	\N	\N	2026-04-04 09:41:37.938901+00	2026-04-17 09:56:20.898633+00	6151	\N	commodity_price_exposure	green	\N	diagnostic	scalar	period	final	risk	\N	f	\N	\N	profit_and_loss	\N	\N	\N
